State,County,fips,Rate,Surprise,Duration,participant
California,Fresno County,6019,0.746,-0.044064147,227,vsup-5f4d52bb1c7d049f204df2ce
California,Madera County,6039,0.779,-0.011697119,472,vsup-5f4d52bb1c7d049f204df2ce
California,Mariposa County,6043,0.849,0.000565085,1081,vsup-5f4d52bb1c7d049f204df2ce
California,Merced County,6047,0.767,-0.018351999,846,vsup-5f4d52bb1c7d049f204df2ce
California,Madera County,6039,0.779,-0.011697119,743,vsup-5f4d52bb1c7d049f204df2ce
California,Mariposa County,6043,0.849,0.000565085,940,vsup-5f4d52bb1c7d049f204df2ce
California,Mono County,6051,0.901,0.003509199,583,vsup-5f4d52bb1c7d049f204df2ce
California,Tuolumne County,6109,0.864,0.002687413,1283,vsup-5f4d52bb1c7d049f204df2ce
California,Mono County,6051,0.901,0.003509199,12908,vsup-5f4d52bb1c7d049f204df2ce
Nebraska,Cherry County,31031,0.91,0.00258346,220,vsup-5f4d52bb1c7d049f204df2ce
South Dakota,Oglala Lakota County,46102,0.565,-0.015855027,250,vsup-5f4d52bb1c7d049f204df2ce
Nebraska,Grant County,31075,0.789,-0.000634416,283,vsup-5f4d52bb1c7d049f204df2ce
Nebraska,Thomas County,31171,0.876,0.000468229,848,vsup-5f4d52bb1c7d049f204df2ce
Nebraska,Cherry County,31031,0.91,0.00258346,550,vsup-5f4d52bb1c7d049f204df2ce
Nebraska,Box Butte County,31013,0.891,0.002571525,306,vsup-5f4d52bb1c7d049f204df2ce
Nebraska,McPherson County,31117,0.84,-2.48E-06,233,vsup-5f4d52bb1c7d049f204df2ce
Nebraska,Cherry County,31031,0.91,0.00258346,216,vsup-5f4d52bb1c7d049f204df2ce
South Dakota,Oglala Lakota County,46102,0.565,-0.015855027,184,vsup-5f4d52bb1c7d049f204df2ce
South Dakota,Custer County,46033,0.868,0.001257925,166,vsup-5f4d52bb1c7d049f204df2ce
South Dakota,Oglala Lakota County,46102,0.565,-0.015855027,883,vsup-5f4d52bb1c7d049f204df2ce
South Dakota,Todd County,46121,0.48,-0.017357375,1007,vsup-5f4d52bb1c7d049f204df2ce
Texas,Webb County,48479,0.685,-0.038438672,3152,vsup-5f4d52bb1c7d049f204df2ce
Texas,Medina County,48325,0.873,0.003557108,149,vsup-5f4d52bb1c7d049f204df2ce
Texas,Kendall County,48259,0.943,0.010409837,249,vsup-5f4d52bb1c7d049f204df2ce
Texas,Blanco County,48031,0.892,0.002709574,184,vsup-5f4d52bb1c7d049f204df2ce
Texas,Llano County,48299,0.875,0.002458433,183,vsup-5f4d52bb1c7d049f204df2ce
Texas,Burnet County,48053,0.877,0.003858268,149,vsup-5f4d52bb1c7d049f204df2ce
Texas,Hamilton County,48193,0.839,-5.49E-05,263,vsup-5f4d52bb1c7d049f204df2ce
Arkansas,Lawrence County,5075,0.816,-0.001513197,181,vsup-5f4d52bb1c7d049f204df2ce
Missouri,Cass County,29037,0.905,0.010072621,405,vsup-5f4d52bb1c7d049f204df2ce
Nebraska,Grant County,31075,0.789,-0.000634416,131,vsup-5f4d52bb1c7d049f204df2ce
Nebraska,Sheridan County,31161,0.842,6.26E-05,188,vsup-5f4d52bb1c7d049f204df2ce
Utah,Carbon County,49007,0.838,-0.000154471,125,vsup-5f4d52bb1c7d049f204df2ce
Utah,Millard County,49027,0.884,0.00241016,218,vsup-5f4d52bb1c7d049f204df2ce
Washington,Yakima County,53077,0.81,-0.007315931,231,vsup-5f4d52bb1c7d049f204df2ce
Virginia,Fairfax County,51059,0.939,0.049530858,177,vsup-5f4d52bb1c7d049f204df2ce
Maryland,Montgomery County,24031,0.93,0.043451706,521,vsup-5f4d52bb1c7d049f204df2ce
Maryland,Frederick County,24021,0.928,0.021102419,2416,vsup-5f4d52bb1c7d049f204df2ce
Kansas,Decatur County,20039,0.825,-0.000397709,259,vsup-5f4d52bb1c7d049f204df2ce
Texas,Potter County,48375,0.783,-0.009594503,216,vsup-5f4d52bb1c7d049f204df2ce
California,Alameda County,6001,0.887,0.02871694,715,vsup-5f4d52bb1c7d049f204df2ce
California,San Mateo County,6081,0.927,0.036070009,4120,vsup-5f4d52bb1c7d049f204df2ce
Utah,Uintah County,49047,0.884,0.003979785,132,vsup-5f4d52bb1c7d049f204df2ce
Wyoming,Sweetwater County,56037,0.88,0.004024172,173,vsup-5f4d52bb1c7d049f204df2ce
Utah,Utah County,49049,0.882,0.015642464,190,vsup-5f4d52bb1c7d049f204df2ce
Utah,Salt Lake County,49035,0.896,0.028305047,584,vsup-5f4d52bb1c7d049f204df2ce
Utah,Davis County,49011,0.938,0.027472282,3187,vsup-5f4d52bb1c7d049f204df2ce
California,Stanislaus County,6099,0.828,-0.004389112,293,vsup-5f4d52bb1c7d049f204df2ce
California,San Mateo County,6081,0.927,0.036070009,1338,vsup-5f4d52bb1c7d049f204df2ce
Missouri,Miller County,29131,0.835,-0.000403868,132,vsup-5f4d52bb1c7d049f204df2ce
Minnesota,Steele County,27147,0.901,0.005653694,176,vsup-5f4d52bb1c7d049f204df2ce
Wisconsin,Dunn County,55033,0.872,0.003258945,984,vsup-5f4d52bb1c7d049f204df2ce
Wisconsin,St. Croix County,55109,0.952,0.016004066,1857,vsup-5f4d52bb1c7d049f204df2ce
Virginia,Brunswick County,51025,0.791,-0.003044976,123,vsup-5f4d52bb1c7d049f204df2ce
Virginia,Loudoun County,51107,0.963,0.036644381,140,vsup-5f4d52bb1c7d049f204df2ce
Maryland,Frederick County,24021,0.928,0.021102419,877,vsup-5f4d52bb1c7d049f204df2ce
Maryland,Montgomery County,24031,0.93,0.043451706,2218,vsup-5f4d52bb1c7d049f204df2ce
Virginia,Loudoun County,51107,0.963,0.036644381,1725,vsup-5f4d52bb1c7d049f204df2ce
Maryland,Frederick County,24021,0.928,0.021102419,1087,vsup-5f4d52bb1c7d049f204df2ce
Maryland,Montgomery County,24031,0.93,0.043451706,10266,vsup-5f4d52bb1c7d049f204df2ce
Maryland,Prince George's County,24033,0.907,0.030332116,3860,vsup-5f4d52bb1c7d049f204df2ce
New York,Suffolk County,36103,0.928,0.050156783,135,vsup-5f4d52bb1c7d049f204df2ce
New York,Suffolk County,36103,0.928,0.050156783,268,vsup-5f4d52bb1c7d049f204df2ce
New York,Suffolk County,36103,0.928,0.050156783,8227,vsup-5f4d52bb1c7d049f204df2ce
Texas,Kendall County,48259,0.943,0.010409837,349,vsup-5f4d52bb1c7d049f204df2ce
Texas,Grayson County,48181,0.857,0.002947367,311,vsup-5f4d52bb1c7d049f204df2ce
Texas,Collin County,48085,0.931,0.042092445,4052,vsup-5f4d52bb1c7d049f204df2ce
Texas,Travis County,48453,0.861,0.011099632,398,vsup-5f4d52bb1c7d049f204df2ce
Texas,Williamson County,48491,0.93,0.03155452,1846,vsup-5f4d52bb1c7d049f204df2ce
Texas,Denton County,48121,0.916,0.032878622,233,vsup-5f4d52bb1c7d049f204df2ce
Texas,Collin County,48085,0.931,0.042092445,4476,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Torrance County,35057,0.729,-0.006704316,123,vsup-5f4d52bb1c7d049f204df2ce
California,Santa Clara County,6085,0.914,0.048117709,156,vsup-5f4d52bb1c7d049f204df2ce
California,San Mateo County,6081,0.927,0.036070009,4099,vsup-5f4d52bb1c7d049f204df2ce
Illinois,Sangamon County,17167,0.844,0.000812145,140,vsup-5f4d52bb1c7d049f204df2ce
Wisconsin,Washington County,55131,0.945,0.018479772,1126,vsup-5f4d52bb1c7d049f204df2ce
Wisconsin,Waukesha County,55133,0.95,0.032966926,1525,vsup-5f4d52bb1c7d049f204df2ce
Wisconsin,Washington County,55131,0.945,0.018479772,1854,vsup-5f4d52bb1c7d049f204df2ce
Minnesota,Winona County,27169,0.855,0.0016183,146,vsup-5f4d52bb1c7d049f204df2ce
Indiana,Boone County,18011,0.939,0.01222178,176,vsup-5f4d52bb1c7d049f204df2ce
Illinois,Iroquois County,17075,0.845,0.000387182,135,vsup-5f4d52bb1c7d049f204df2ce
Illinois,Kankakee County,17091,0.849,0.001410618,429,vsup-5f4d52bb1c7d049f204df2ce
Illinois,Will County,17197,0.926,0.033846607,2283,vsup-5f4d52bb1c7d049f204df2ce
Minnesota,Scott County,27139,0.944,0.019008504,224,vsup-5f4d52bb1c7d049f204df2ce
Minnesota,Dakota County,27037,0.931,0.028079482,1388,vsup-5f4d52bb1c7d049f204df2ce
Wisconsin,Pierce County,55093,0.893,0.005234014,163,vsup-5f4d52bb1c7d049f204df2ce
Wisconsin,St. Croix County,55109,0.952,0.016004066,1199,vsup-5f4d52bb1c7d049f204df2ce
Minnesota,Hennepin County,27053,0.885,0.023939446,196,vsup-5f4d52bb1c7d049f204df2ce
Minnesota,Wright County,27171,0.95,0.019291383,1797,vsup-5f4d52bb1c7d049f204df2ce
Indiana,Parke County,18121,0.861,0.001311376,146,vsup-5f4d52bb1c7d049f204df2ce
Indiana,Tippecanoe County,18157,0.791,-0.010375563,141,vsup-5f4d52bb1c7d049f204df2ce
Indiana,Marion County,18097,0.802,-0.017889971,435,vsup-5f4d52bb1c7d049f204df2ce
Indiana,Union County,18161,0.918,0.003202112,220,vsup-5f4d52bb1c7d049f204df2ce
Illinois,Edwards County,17047,0.885,0.001751348,124,vsup-5f4d52bb1c7d049f204df2ce
Kansas,Logan County,20109,0.911,0.001825685,316,vsup-5f4d52bb1c7d049f204df2ce
Colorado,El Paso County,8041,0.889,0.019554234,582,vsup-5f4d52bb1c7d049f204df2ce
Colorado,Douglas County,8035,0.964,0.033978537,1280,vsup-5f4d52bb1c7d049f204df2ce
Indiana,Hancock County,18059,0.93,0.011854526,138,vsup-5f4d52bb1c7d049f204df2ce
Illinois,DuPage County,17043,0.932,0.041694818,204,vsup-5f4d52bb1c7d049f204df2ce
Illinois,McHenry County,17111,0.927,0.023069963,151,vsup-5f4d52bb1c7d049f204df2ce
Wisconsin,Waukesha County,55133,0.95,0.032966926,989,vsup-5f4d52bb1c7d049f204df2ce
Illinois,Vermilion County,17183,0.802,-0.005170771,382,vsup-5f4d52bb1c7d049f204df2ce
Illinois,Iroquois County,17075,0.845,0.000387182,215,vsup-5f4d52bb1c7d049f204df2ce
Illinois,Kankakee County,17091,0.849,0.001410618,344,vsup-5f4d52bb1c7d049f204df2ce
Illinois,Will County,17197,0.926,0.033846607,3445,vsup-5f4d52bb1c7d049f204df2ce
South Dakota,Meade County,46093,0.912,0.005818582,719,vsup-5fe76396a4feb05bf1629a6c
Mississippi,Marshall County,28093,0.822,-0.001671291,162,vsup-5fe76396a4feb05bf1629a6c
Texas,Hunt County,48231,0.812,-0.004194077,256,vsup-5fe76396a4feb05bf1629a6c
Texas,Collin County,48085,0.931,0.042092445,4505,vsup-5fe76396a4feb05bf1629a6c
Georgia,Atkinson County,13003,0.726,-0.005055999,171,vsup-5fe76396a4feb05bf1629a6c
Georgia,Ware County,13299,0.752,-0.008080583,159,vsup-5fe76396a4feb05bf1629a6c
Georgia,Coffee County,13069,0.761,-0.007946777,124,vsup-5fe76396a4feb05bf1629a6c
Wisconsin,Barron County,55005,0.885,0.004616644,749,vsup-5fe76396a4feb05bf1629a6c
Wisconsin,Polk County,55095,0.901,0.006133977,1007,vsup-5fe76396a4feb05bf1629a6c
Wisconsin,St. Croix County,55109,0.952,0.016004066,3302,vsup-5fe76396a4feb05bf1629a6c
Texas,Anderson County,48001,0.843,0.000323602,134,vsup-5fe76396a4feb05bf1629a6c
Texas,Kaufman County,48257,0.876,0.006072136,236,vsup-5fe76396a4feb05bf1629a6c
Texas,Collin County,48085,0.931,0.042092445,867,vsup-5fe76396a4feb05bf1629a6c
Wisconsin,Oconto County,55083,0.909,0.006451803,121,vsup-5fe76396a4feb05bf1629a6c
Delaware,Kent County,10001,0.87,0.006062181,259,vsup-5fe76396a4feb05bf1629a6c
